Identifier,Remark,Identifier,default,ru
,,MANPAGES_CCMD_ADDPLAYERCLASS_DESC,"Adds the given {{player class}} to the {{available player classes}}. If the ""nomenu"" keyword is added, the class will be available only in the {{player setup}}, and not shown as an option on the {{class selection menu}}.",
,,MANPAGES_CCMD_ADDPLAYERCLASS_EXMP,,
,,MANPAGES_CCMD_ADDSLOT_NAME,addslot <slot> <weapon>,
,,MANPAGES_CCMD_ADDSLOT_DESC,Adds a single weapon to the list of weapons in a weapon slot.  This allows a user to select a custom weapon from a PWAD using their normal weapon selection keys.,
,,MANPAGES_CCMD_ADDSLOT_EXMP,,
,,MANPAGES_CCMD_ADDSLOTDEFAULT_NAME,addslotdefault <slot> <weapon>,
,,MANPAGES_CCMD_ADDSLOTDEFAULT_DESC,"Adds a single weapon to the list of weapons in a weapon slot, but only if that weapon is not already in a slot. If the weapon is already present in a slot (either the slot specified to addslotdefault or some other slot), then this command does nothing. When used inside a {{KEYCONF}} lump, this command  must be preceded by a {{weaponsection}} command.",
,,MANPAGES_CCMD_ADDSLOTDEFAULT_EXMP,,
,,MANPAGES_CCMD_ALIAS_NAME,alias [name] [command string],
,,MANPAGES_CCMD_ALIAS_DESC,"If specified with no parameters, alias will display a list of all currently defined aliases. If only {{command}} is specified, it will be removed from the list of aliases. If {{command string}} is also specified, it will be added to the list of aliases as a new command. For example, to create a new alias to kill the monsters on the level, you can use the command:
alias massacre ""kill monsters""

Then you can use the newly created massacre command to kill all the monsters on the level. You can use ; to add more commands:
alias weirdness ""kill monsters; Give all; Summon doomimp""

That would kill all monsters, give you all invertory and summon an imp. You can use wait (tics) to put a delay between commands. Example:
alias ""kill monsters; Give all; wait 10; Summon doomimp""

Which would kill all the monsters, give all, wait 10 tics and then summon an imp. Also if you run out of space for the alias you can link to another alias. You can easily change your alias by editing your {{zdoom.ini}} file.

For setting up an alias that both activates on press and release, use +/- before the alias name and bind the key to the + version:",
,,MANPAGES_CCMD_ALIAS_EXMP,,
,,MANPAGES_CCMD_AM_CLEARMARKS_NAME,am_clearmarks,
,,MANPAGES_CCMD_AM_CLEARMARKS_DESC,Removes all user-placed automap marks.,
,,MANPAGES_CCMD_AM_CLEARMARKS_EXMP,,
,,MANPAGES_CCMD_AM_GOBIG_NAME,am_gobig,
,,MANPAGES_CCMD_AM_GOBIG_DESC,Zoom the map out to put the entire level in view,
,,MANPAGES_CCMD_AM_GOBIG_EXMP,,
,,MANPAGES_CCMD_AM_RESTORECOLORS_NAME,am_restorecolors,
,,MANPAGES_CCMD_AM_RESTORECOLORS_DESC,Reset custom automap colors to their default values.,
,,MANPAGES_CCMD_AM_RESTORECOLORS_EXMP,,
,,MANPAGES_CCMD_AM_SETMARK_NAME,am_setmark,
,,MANPAGES_CCMD_AM_SETMARK_DESC,Set a mark at the center position (player arrow in follow mode; crosshair in no-follow mode).,
,,MANPAGES_CCMD_AM_SETMARK_EXMP,,
,,MANPAGES_CCMD_AM_TOGGLEFOLLOW_NAME,am_togglefollow,
,,MANPAGES_CCMD_AM_TOGGLEFOLLOW_DESC,Toggles follow mode on and off.,
,,MANPAGES_CCMD_AM_TOGGLEFOLLOW_EXMP,,
,,MANPAGES_CCMD_AM_TOGGLEGRID_NAME,am_togglegrid,
,,MANPAGES_CCMD_AM_TOGGLEGRID_DESC,Toggles grid layer display on and off.,
,,MANPAGES_CCMD_AM_TOGGLEGRID_EXMP,,
,,MANPAGES_CCMD_AM_TOGGLETEXTURE_NAME,am_toggletexture,
,,MANPAGES_CCMD_AM_TOGGLETEXTURE_DESC,"Toggles textured automap on and off. Note that textured automap requires {{GL nodes}} to have been built: if no GL nodes are available, the automap will remain untextured.",
,,MANPAGES_CCMD_AM_TOGGLETEXTURE_EXMP,,
,,MANPAGES_CCMD_AM_ZOOM_NAME,am_zoom int value,
,,MANPAGES_CCMD_AM_ZOOM_DESC,Zoom to the given zoom level.,
,,MANPAGES_CCMD_AM_ZOOM_EXMP,,
,,MANPAGES_CCMD_ANUBIS_NAME,anubis,
,,MANPAGES_CCMD_ANUBIS_DESC,Toggles monster fear on and off. Scared monsters will run away from you and attack less frequently.,
,,MANPAGES_CCMD_ANUBIS_EXMP,,
,,MANPAGES_CCMD_ARCHIVECVAR_NAME,archivecvar <CVAR>,
,,MANPAGES_CCMD_ARCHIVECVAR_DESC,"When you create a custom CVAR with the set command, it will not normally be saved in the {{ini}}. You can use archivecvar after creating the CVAR to indicate that the custom CVAR's value should persist even after you quit. This command is ill advised for non-archived user cvars, as it may cause side effects such as scripts running improperly.",
,,MANPAGES_CCMD_ARCHIVECVAR_EXMP,,
,,MANPAGES_CCMD_ATEXIT_NAME,atexit [command],
,,MANPAGES_CCMD_ATEXIT_DESC,"If you specify a command, it will be added to a list of console commands to execute when the user quits the game. Commands are executed in the reverse order that they were added in. If you do not specify any arguments to atexit, then it will list the current set of commands that will execute when you quit.",
,,MANPAGES_CCMD_ATEXIT_EXMP,,
,,MANPAGES_CCMD_BIND_NAME,bind [key] [command],
,,MANPAGES_CCMD_BIND_DESC,"If no parameters are specified, the entire list of bound keys will be printed to the console. If only {{key}} is specified, the binding for that specific key will be printed. If both {{key}} and {{command}} are specified, {{command}} will be bound to {{key}}.",
,,MANPAGES_CCMD_BIND_EXMP,,
,,MANPAGES_CCMD_BINDDEFAULTS_NAME,binddefaults,
,,MANPAGES_CCMD_BINDDEFAULTS_DESC,"Binds all keys to their default commands. This will not unbind any keys that do not have any default bindings, so if you want to properly restore the default controls, you need to use unbindall first.",
,,MANPAGES_CCMD_BINDDEFAULTS_EXMP,,
,,MANPAGES_CCMD_BUDDHA_NAME,buddha,
,,MANPAGES_CCMD_BUDDHA_DESC,Gives you an indestructible hit point: no normal attack can remove that last hit point from you (certain death effects such as telefragging will still kill you). This is a more useful cheat than god mode for testing monsters or levels.,
,,MANPAGES_CCMD_BUDDHA_EXMP,,
,,MANPAGES_CCMD_BUDDHA2_NAME,buddha2,
,,MANPAGES_CCMD_BUDDHA2_DESC,"Similar to buddha above, except that absolutely nothing can take away that one hit point, not even telefrag.",
,,MANPAGES_CCMD_BUDDHA2_EXMP,,
,,MANPAGES_CCMD_BUMPGAMMA_NAME,bumpgamma,
,,MANPAGES_CCMD_BUMPGAMMA_DESC,"Increases the current gamma level by 0.1. If the new gamma level would be greater than 3.0, it wraps the gamma around to 1.0.",
,,MANPAGES_CCMD_BUMPGAMMA_EXMP,,
,,MANPAGES_CCMD_CENTERVIEW_NAME,centerview,
,,MANPAGES_CCMD_CENTERVIEW_DESC,Resets {{free look}} to the horizontal.,
,,MANPAGES_CCMD_CENTERVIEW_EXMP,,
,,MANPAGES_CCMD_CHANGEMAP_NAME,changemap <lumpname>,
,,MANPAGES_CCMD_CHANGEMAP_DESC,"Shows the intermission screen and then warps the player to the specified map, (e.g. ""changemap e2m3"" or ""changemap map27"") retaining the player's inventory and health value in the process. The following can be used instead of a map's name:
- *: warps to the current map.
- +: warps to the next map as defined in {{MAPINFO}}.
- +$: warps to the next secret map as defined in MAPINFO.",
,,MANPAGES_CCMD_CHANGEMAP_EXMP,,
,,MANPAGES_CCMD_CHANGEMUS_NAME,changemus [<music> [track]],
,,MANPAGES_CCMD_CHANGEMUS_DESC,"Changes the currently playing music. {{Music}} should be the name of a music lump, a file on disk (which need not have been specified with the -file {{command line parameter}}), or a website address for a specific music file. If a music lump contains several tracks ({{MIDI}} type 2, certain {{XMI}} song, and miscellaneous other {{music formats}} support this), then optionally a second parameter can be used to specify the track number.

If no parameters are given, the command will instead log the name of the currently-played lump or file to the {{console}}.",
,,MANPAGES_CCMD_CHANGEMUS_EXMP,,
,,MANPAGES_CCMD_CHANGESKY_NAME,changesky <texture>,changesky <название текстуры>
,,MANPAGES_CCMD_CHANGESKY_DESC,Replaces the default sky texture. This corresponds to the texture defined as sky1 in a {{MAPINFO}} {{map definition}}.,"Заменяет текущую текстуру неба, которая объявлена как 'sky1' в {{MAPINFO}} {{map definition}}."
,,MANPAGES_CCMD_CHANGESKY_EXMP,"changesky rsky1\tIn Doom 2 or Doom 2-based WADs, changes the sky texture to 'RSKY1' defined in the TEXTURE1 lump.","changesky rsky1\tВ Doom 2 (или WAD, основанных на Doom 2) изменяет текстуру неба на 'RSKY1', которая объявлена в lump TEXTURE1."
,,MANPAGES_CCMD_CHASE_NAME,chase,
,,MANPAGES_CCMD_CHASE_DESC,Toggles the {{chasecam}} on and off. This is considered a {{cheat}}.,
,,MANPAGES_CCMD_CHASE_EXMP,,
,,MANPAGES_CCMD_CLEAN_NAME,clean,
,,MANPAGES_CCMD_CLEAN_DESC,Prints the clean factors for {{menu}} scaling allowed by the current resolution.,
,,MANPAGES_CCMD_CLEAN_EXMP,,
,,MANPAGES_CCMD_CLEARALIASES_NAME,clearaliases,
,,MANPAGES_CCMD_CLEARALIASES_DESC,Erases all existing console aliases.,
,,MANPAGES_CCMD_CLEARALIASES_EXMP,,
,,MANPAGES_CCMD_CLEARPLAYERCLASSES_NAME,clearplayerclasses,
,,MANPAGES_CCMD_CLEARPLAYERCLASSES_DESC,Removes all {{player classes}} from the list of {{available player classes}} when starting a {{new game}} or changing the {{player setup}}. You should always follow with calls to {{addplayerclass}}.,
,,MANPAGES_CCMD_CLEARPLAYERCLASSES_EXMP,,
,,MANPAGES_CCMD_CLEARWALLCYCLES_NAME,clearwallcycles,
,,MANPAGES_CCMD_CLEARWALLCYCLES_DESC,Resets the count of minimum wall drawing cycles. Used for profiling the wall drawer.,
,,MANPAGES_CCMD_CLEARWALLCYCLES_EXMP,,
,,MANPAGES_CCMD_CLOSEMENU_NAME,closemenu,
,,MANPAGES_CCMD_CLOSEMENU_DESC,Closes the current {{menu}}. This is mainly useful to be called from {{custom menus}} as a means to close the menu and return to the game.,
,,MANPAGES_CCMD_CLOSEMENU_EXMP,,
,,MANPAGES_CCMD_CMDLIST_NAME,cmdlist [pattern],
,,MANPAGES_CCMD_CMDLIST_DESC,"Lists all console commands supported by the current version of ZDoom. If you specify a {{pattern}}, then only those {{CCMDs}} that match the pattern will be listed. Patterns can contain the wildcards * (which substitutes for zero or more characters) and ? (which substitutes for exactly one character).",
,,MANPAGES_CCMD_CMDLIST_EXMP,,
,,MANPAGES_CCMD_COUNTDECALS_NAME,countdecals,
,,MANPAGES_CCMD_COUNTDECALS_DESC,Returns the internal count of automatically generated decals.,
,,MANPAGES_CCMD_COUNTDECALS_EXMP,,
,,MANPAGES_CCMD_COUNTITEMS_NAME,countitems [class or TID],
,,MANPAGES_CCMD_COUNTITEMS_DESC,"Prints a list of all countable {{items}} present in the map, each on a line of the form ClassName at (X, Y, Z). Passing a countable item's class name to the command, filters the list, listing only those with the matching class name. At the end of the list, the total count of found countable items is printed. Passing a TID instead of a class name, filters the list by TID.",
,,MANPAGES_CCMD_COUNTITEMS_EXMP,,
,,MANPAGES_CCMD_COUNTITEMSNUM_NAME,countitemsnum [class or TID],
,,MANPAGES_CCMD_COUNTITEMSNUM_DESC,"Prints the total count of all countable items present in the map. Passing a countable item's class name to the command, prints the total count of that class only. Passing a TID instead of a class name, prints the total count of countable items with the matching TID.",
,,MANPAGES_CCMD_COUNTITEMSNUM_EXMP,,
,,MANPAGES_CCMD_CRASHOUT_NAME,crashout,
,,MANPAGES_CCMD_CRASHOUT_DESC,Debugging routine for testing the crash logger. This deliberately triggers a crash by {{attempting to write}} at {{address 0}}.,
,,MANPAGES_CCMD_CRASHOUT_EXMP,,
,,MANPAGES_CCMD_CROUCH_NAME,crouch,
,,MANPAGES_CCMD_CROUCH_DESC,"Toggles {{crouching}} mode on and off. Not to be confused with {{+crouch}}, which only enables crouching while the key is pressed.",
,,MANPAGES_CCMD_CROUCH_EXMP,,
,,MANPAGES_CCMD_CURRENTPOS_NAME,currentpos,
,,MANPAGES_CCMD_CURRENTPOS_DESC,"Prints the player's current position: X, Y and Z coordinates, angle, floor height, sector number, and sector light level.",
,,MANPAGES_CCMD_CURRENTPOS_EXMP,,
,,MANPAGES_CCMD_CVARLIST_NAME,cvarlist [pattern],
,,MANPAGES_CCMD_CVARLIST_DESC,"Lists the values of all currently defined console variables. Each CVAR can also be prefaced by multiple flags. These are:
A: Archive — gets saved in the config file.

U: User — contains user info.

S: Server — contains server info.

-: Not settable — can only be changed from the command line.

L: Latched — changes do not take effect until the next game.

C: Callback — allocated and has an internal callback.

*: Custom — was created by the user and is meaningless to the game.

If you specify a {{pattern}}, then only those CVARs that match the pattern will be listed. Patterns can contain the wildcards * (which substitutes for zero or more characters) and ? (which substitutes for exactly one character).",
,,MANPAGES_CCMD_CVARLIST_EXMP,,
,,MANPAGES_CCMD_CVARLISTPLAIN_NAME,cvarlistplain,
,,MANPAGES_CCMD_CVARLISTPLAIN_DESC,"This command works similarly to {{cvarlist}}, except it does not include flag information or list user-created {{CVARs}}. Its primary purpose is to provide a simple list of cvars that can be exported and checked against this file to ensure it is complete.",
,,MANPAGES_CCMD_CVARLISTPLAIN_EXMP,,
,,MANPAGES_CCMD_DEFAULTBIND_NAME,defaultbind <key> <command>,
,,MANPAGES_CCMD_DEFAULTBIND_DESC,Binds {{command}} to the key if and only if {{key}} is not already bound and there are no keys already bound to {{command}}. This can be useful in {{KEYCONF}} lumps to create a default binding for a command without overwriting the user's preference.,
,,MANPAGES_CCMD_DEFAULTBIND_EXMP,,
,,MANPAGES_CCMD_DIR_NAME,dir [path/][pattern],
,,MANPAGES_CCMD_DIR_DESC,"This command lists the contents of a directory. It supports wildcards (but will not recurse into multiple directories). If {{path}} is not specified, it will display the contents of the directory the game was run from.",
,,MANPAGES_CCMD_DIR_EXMP,,
,,MANPAGES_CCMD_DOUBLEBIND_NAME,doublebind [key] [command],
,,MANPAGES_CCMD_DOUBLEBIND_DESC,"This command works just like bind, except it controls the action that occurs when a key is double-clicked. If a key does not have a doublebinding, then double-clicking it has the same result as pressing it twice. Otherwise, the first press will execute the normal command set with bind, and the second press of the double-click will execute the command set with doublebind.",
,,MANPAGES_CCMD_DOUBLEBIND_EXMP,,
,,MANPAGES_CCMD_DROP_NAME,drop <item> [amount],
,,MANPAGES_CCMD_DROP_DESC,"Drops the given item, if there is at least that much in the player's inventory. Items with the {{INVENTORY.UNDROPPABLE}} or {{INVENTORY.UNTOSSABLE}} flags cannot be dropped. {{amount}} specifies the number of samples the dropped item contains. The command cannot drop more than what is available in the inventory.",
,,MANPAGES_CCMD_DROP_EXMP,,
,,MANPAGES_CCMD_DUMPACTORS_NAME,dumpactors,
,,MANPAGES_CCMD_DUMPACTORS_DESC,"Outputs a list of all object classes, along with their {{editor number}}, {{SpawnID}}, {{game filter}} and the file and lump in which they were declared. This command is useful to help resolve conflicts in large scale collaborative projects. Because of the mass of information ({{ZDoom}} alone contains more than 1300 actors), this should be used along with the logfile command to capture the output and then copy and paste it into a program such as a spreadsheet. The command may take a few seconds to process all the data.",
,,MANPAGES_CCMD_DUMPACTORS_EXMP,,
,,MANPAGES_CCMD_DUMPCLASSES_NAME,dumpclasses [base class],
,,MANPAGES_CCMD_DUMPCLASSES_DESC,"Displays a list of all classes in the game. You can use {{base class}} to limit the list to only those classes that derive from {{base class}}. For example, {{dumpclasses actor}} will only show those classes that can be spawned in a level (including actors from all supported games). If you only want a list of weapons, you can use {{dumpclasses weapon}}. This list can be quite long and exceed the length of the console buffer, so it is a good idea to capture its output to a file using the logfile command.",
,,MANPAGES_CCMD_DUMPCLASSES_EXMP,,
,,MANPAGES_CCMD_DUMPCONVERSATIONIDS_NAME,dumpconversationids,
,,MANPAGES_CCMD_DUMPCONVERSATIONIDS_DESC,Lists all the {{conversation numbers}} for actors in the current game.,
,,MANPAGES_CCMD_DUMPCONVERSATIONIDS_EXMP,,
,,MANPAGES_CCMD_DUMPGEOMETRY_NAME,dumpgeometry,
,,MANPAGES_CCMD_DUMPGEOMETRY_DESC,"Sends to the logfile a full disassembly of the map geometry, divided into sectors, subsectors, segs, and vertices.",
,,MANPAGES_CCMD_DUMPGEOMETRY_EXMP,,
,,MANPAGES_CCMD_DUMPMAPTHINGS_NAME,dumpmapthings,
,,MANPAGES_CCMD_DUMPMAPTHINGS_DESC,Lists all the map editor numbers for actors in the current game.,
,,MANPAGES_CCMD_DUMPMAPTHINGS_EXMP,,
,,MANPAGES_CCMD_DUMPPORTALS_NAME,dumpportals,
,,MANPAGES_CCMD_DUMPPORTALS_DESC,"Sends to the logfile a complete report on all {{portals}} used in the map, listing for each which subsectors are covered by which others.",
,,MANPAGES_CCMD_DUMPPORTALS_EXMP,,
,,MANPAGES_CCMD_DUMPSPAWNABLES_NAME,dumpspawnables,
,,MANPAGES_CCMD_DUMPSPAWNABLES_DESC,Lists all the {{spawn numbers}} for actors in the current game.,
,,MANPAGES_CCMD_DUMPSPAWNABLES_EXMP,,
,,MANPAGES_CCMD_DUMPSTATES_NAME,dumpstates,
,,MANPAGES_CCMD_DUMPSTATES_DESC,Lists debugging information about all of the currently-defined actor's states. Probably not useful to the average user.,
,,MANPAGES_CCMD_DUMPSTATES_EXMP,,
,,MANPAGES_CCMD_ECHO_NAME,echo <string>,
,,MANPAGES_CCMD_ECHO_DESC,Prints {{string}} to the console.,
,,MANPAGES_CCMD_ECHO_EXMP,,
,,MANPAGES_CCMD_ENDGAME_NAME,endgame,
,,MANPAGES_CCMD_ENDGAME_DESC,Quits the current game and go back to the title screen.,
,,MANPAGES_CCMD_ENDGAME_EXMP,,
,,MANPAGES_CCMD_ERROR_NAME,error <message>,
,,MANPAGES_CCMD_ERROR_DESC,Simulates an error by killing the current game and falling back to the fullscreen {{console}} with the specified message.,
,,MANPAGES_CCMD_ERROR_EXMP,,
,,MANPAGES_CCMD_ERROR_FATAL_NAME,error_fatal <message>,
,,MANPAGES_CCMD_ERROR_FATAL_DESC,Simulates a fatal error by exiting the game completely and showing the error-message.,
,,MANPAGES_CCMD_ERROR_FATAL_EXMP,,
,,MANPAGES_CCMD_EXEC_NAME,exec <file>,
,,MANPAGES_CCMD_EXEC_DESC,Executes a series of commands stored in the script-file as if they had been typed in at the console directly.,
,,MANPAGES_CCMD_EXEC_EXMP,,
,,MANPAGES_CCMD_FINISHGAME_NAME,finishgame,
,,MANPAGES_CCMD_FINISHGAME_DESC,This command simulates an end-of-game action and exists to end mods that never exit their last level.,
,,MANPAGES_CCMD_FINISHGAME_EXMP,,
,,MANPAGES_CCMD_FLY_NAME,fly,
,,MANPAGES_CCMD_FLY_DESC,Toggles fly mode on and off.,
,,MANPAGES_CCMD_FLY_EXMP,,
,,MANPAGES_CCMD_FPUKE_NAME,fpuke <script>,
,,MANPAGES_CCMD_FPUKE_DESC,Executes a {{FraggleScript}} script.,
,,MANPAGES_CCMD_FPUKE_EXMP,,
,,MANPAGES_CCMD_FREEZE_NAME,freeze,
,,MANPAGES_CCMD_FREEZE_DESC,Use this command once to freeze gameplay (while still allowing you to move around). Use it again to unfreeze gameplay. This will not work in multiplayer.,
,,MANPAGES_CCMD_FREEZE_EXMP,,
,,MANPAGES_CCMD_GAMEVERSION_NAME,gameversion,
,,MANPAGES_CCMD_GAMEVERSION_DESC,Prints the version number and compile date of ZDoom.,
,,MANPAGES_CCMD_GAMEVERSION_EXMP,,
,,MANPAGES_CCMD_GET_NAME,get <CVAR>,
,,MANPAGES_CCMD_GET_DESC,Displays the value of {{CVAR}}. This is redundant because typing the name of the CVAR alone at the console will accomplish the same thing.,
,,MANPAGES_CCMD_GET_EXMP,,
,,MANPAGES_CCMD_GIVE_NAME,give <item>,
,,MANPAGES_CCMD_GIVE_DESC,"Gives an item to the player. Give understands the following special items:
- all - gives you everything
- everything - gives you everything, including weapons flagged with {{WEAPON.CHEATNOTWEAPON}}.
- backpack - gives you a backpack in Doom, a bag of holding in Heretic and Hexen, and an ammo satchel in Strife.
- health - gives you full health
- weapons - gives you every weapon
- ammo - gives you full ammo
- armor - gives you full armor
- keys - gives you every key that is {{assigned to a lock}}.

It also understands the names of individual inventory items. Use the command dumpclasses inventory for a complete list of these.",
,,MANPAGES_CCMD_GIVE_EXMP,,
,,MANPAGES_CCMD_GL_PORTALINFO_NAME,gl_portalinfo,
,,MANPAGES_CCMD_GL_PORTALINFO_DESC,Triggers logging of {{portal}} information.,
,,MANPAGES_CCMD_GL_PORTALINFO_EXMP,,
,,MANPAGES_CCMD_GOD_NAME,god,
,,MANPAGES_CCMD_GOD_DESC,"Toggles God (Degreelessness) mode on/off. While active, you cannot be hurt by normal attacks (although some things such as telefragging will still kill you). Also known as iddqd.",
,,MANPAGES_CCMD_GOD_EXMP,,
,,MANPAGES_CCMD_GOD2_NAME,god2,
,,MANPAGES_CCMD_GOD2_DESC,"Similar to god above, except that the player is given absolute invulnerability; nothing can damage them, not even telefrag.",
,,MANPAGES_CCMD_GOD2_EXMP,,
,,MANPAGES_CCMD_HIDDENCOMPATFLAGS_NAME,hiddencompatflags,
,,MANPAGES_CCMD_HIDDENCOMPATFLAGS_DESC,Prints the hex values of three compatibility flags fields. This allows to check whether any {{MAPINFO}} settings or {{automatic compatibility}} are enforcing certain {{compatibility options}}.,
,,MANPAGES_CCMD_HIDDENCOMPATFLAGS_EXMP,,
,,MANPAGES_CCMD_HISTORY_NAME,history,
,,MANPAGES_CCMD_HISTORY_DESC,Prints the most recently executed {{console commands}} that you can cycle through by pressing the up and down arrow keys. Up to fifty commands might be stored in the console history.,
,,MANPAGES_CCMD_HISTORY_EXMP,,
,,MANPAGES_CCMD_HXVISIT_NAME,hxvisit <warptrans>,
,,MANPAGES_CCMD_HXVISIT_DESC,"Changes to the level specified by {{warptrans}}. Unlike {{idclev}}, hxvisit determines the map to go to by finding a map defined in {{MAPINFO}} with a matching {{warptrans}}. Hence, it emulates the {{{{Hexen}}}} visit {{cheat}}.",
,,MANPAGES_CCMD_HXVISIT_EXMP,,
,,MANPAGES_CCMD_IDCLEV_NAME,idclev <slotnumber>,
,,MANPAGES_CCMD_IDCLEV_DESC,Changes to the level specified by {{slotnumber}}. This emulates the idclev {{cheat}}.,
,,MANPAGES_CCMD_IDCLEV_EXMP,,
,,MANPAGES_CCMD_IDDQD_NAME,iddqd,
,,MANPAGES_CCMD_IDDQD_DESC,"The same as god, except it also gives you 100 health.",
,,MANPAGES_CCMD_IDDQD_EXMP,,
,,MANPAGES_CCMD_IDMUS_NAME,idmus <slotnumber>,
,,MANPAGES_CCMD_IDMUS_DESC,Changes the music to that associated with the specified level slot. This emulates the idmus {{cheat}}.,
,,MANPAGES_CCMD_IDMUS_EXMP,,
,,MANPAGES_CCMD_INFO_NAME,info [verbose],
,,MANPAGES_CCMD_INFO_DESC,"Prints a lot of information about the actor the player is looking at. It is however unable to detect actors which have a radius or height of 0, or actors with the NOBLOCKMAP flag. If {{verbose}} is 0, only the actor name, health, and starting health are displayed.",
,,MANPAGES_CCMD_INFO_EXMP,,
,,MANPAGES_CCMD_INVDROP_NAME,invdrop,
,,MANPAGES_CCMD_INVDROP_DESC,Drops the currently selected {{inventory item}}.,
,,MANPAGES_CCMD_INVDROP_EXMP,,
,,MANPAGES_CCMD_INVNEXT_NAME,invnext,
,,MANPAGES_CCMD_INVNEXT_DESC,"Selects the next {{inventory item}} you possess. In addition, it plays the ""misc/invchange"" sound if defined. By default it is not.",
,,MANPAGES_CCMD_INVNEXT_EXMP,,
,,MANPAGES_CCMD_INVPREV_NAME,invprev,
,,MANPAGES_CCMD_INVPREV_DESC,"Selects the previous {{inventory item}} you possess. In addition, it plays the ""misc/invchange"" sound if defined. By default it is not.",
,,MANPAGES_CCMD_INVPREV_EXMP,,
,,MANPAGES_CCMD_INVQUERY_NAME,invquery,
,,MANPAGES_CCMD_INVQUERY_DESC,Displays information about the currently-selected inventory item.,
,,MANPAGES_CCMD_INVQUERY_EXMP,,
,,MANPAGES_CCMD_INVUSE_NAME,invuse,
,,MANPAGES_CCMD_INVUSE_DESC,Activates the currently selected {{inventory item}}.,
,,MANPAGES_CCMD_INVUSE_EXMP,,
,,MANPAGES_CCMD_INVUSEALL_NAME,invuseall,
,,MANPAGES_CCMD_INVUSEALL_DESC,Activates every {{inventory item}} you possess.,
,,MANPAGES_CCMD_INVUSEALL_EXMP,,
,,MANPAGES_CCMD_ITEMS_NAME,items [class or TID],
,,MANPAGES_CCMD_ITEMS_DESC,"Prints a list of all {{items}} present in the map, each on a line of the form ClassName at (X, Y, Z).

Passing an item's class name to the command, filters the list, listing only those with the matching class name. At the end of the list, the total count of found items is printed. Passing a TID instead of a class name, filters the list by TID.",
,,MANPAGES_CCMD_ITEMS_EXMP,,
,,MANPAGES_CCMD_ITEMSNUM_NAME,itemsnum [class or TID],
,,MANPAGES_CCMD_ITEMSNUM_DESC,"Prints the total count of all items present in the map. Passing an item's class name to the command, prints the total count of that class only. Passing a TID instead of a class name, prints the total count of items with the matching TID.",
,,MANPAGES_CCMD_ITEMSNUM_EXMP,,
,,MANPAGES_CCMD_KEY_NAME,key <value1> [value2],
,,MANPAGES_CCMD_KEY_DESC,Translates all parameters to the command into their corresponding key values which are used internally for command and alias lookup. Probably not very useful for the average user.,
,,MANPAGES_CCMD_KEY_EXMP,,
,,MANPAGES_CCMD_KILL_NAME,kill [class],
